country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Rohini, Delhi - DPCC","02-12-2025 22:00:00",28.732528,77.119920,OZONE,4,242,114
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","02-12-2025 22:00:00",28.6514781,77.1473105,NO2,67,132,93
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","02-12-2025 22:00:00",28.6514781,77.1473105,SO2,15,22,19
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","02-12-2025 22:00:00",28.710508,77.249485,PM2.5,324,500,411
India,Delhi,Delhi,"ITO, Delhi - CPCB","02-12-2025 22:00:00",28.628624,77.241060,PM10,213,417,325
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","02-12-2025 22:00:00",28.732820,77.170633,PM10,215,500,389
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","02-12-2025 22:00:00",28.732820,77.170633,NO2,121,175,146
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","02-12-2025 22:00:00",28.580280,77.233829,PM2.5,361,432,397
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","02-12-2025 22:00:00",28.5918245,77.2273074,OZONE,5,135,74
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","02-12-2025 22:00:00",28.623763,77.287209,NH3,12,16,14
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","02-12-2025 22:00:00",28.674045,77.131023,PM2.5,335,466,411
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","02-12-2025 22:00:00",28.674045,77.131023,OZONE,5,184,86
India,Delhi,Delhi,"Pusa, Delhi - DPCC","02-12-2025 22:00:00",28.639652,77.146275,NO2,65,233,140
India,Delhi,Delhi,"Pusa, Delhi - IMD","02-12-2025 22:00:00",28.636110,77.173332,OZONE,24,91,54
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","02-12-2025 22:00:00",28.5710274,77.0719006,CO,63,161,161
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","02-12-2025 22:00:00",28.6811736,77.3025234,PM2.5,129,500,291
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","02-12-2025 22:00:00",28.542460,77.191651,CO,37,118,70
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","02-12-2025 22:00:00",28.636429,77.201067,PM2.5,207,413,332
India,Delhi,Delhi,"Mundka, Delhi - DPCC","02-12-2025 22:00:00",28.684678,77.076574,OZONE,2,93,50
